The common monsters in Blades of Exile, compiled by Tarl Roger Kudrick

           Monster       Lvl   Calc  Skill  Arm  Hlth   AT   D1   S1   D2   S2   D3   S3   PL   ML
145  Giant Roach            8   5.7     7     4    40    1    3    8    0    0    0    0    0    0
146  Mung Roach             8   6.0     7     5    40    1    2    8    0    0    0    0    0    0
147  Guardian Roach        10   9.1    13     6    60    1    4    8    0    0    0    0    0    0
148  Big Roach              4   8.6    30     0    30    1    2    8    0    0    0    0    0    0
149  Troglodyte             5   4.6     5     6    25    1    1   10    0    0    0    0    0    0
150  Troglodyte Warrior     8   7.5     8    10    40    1    2   12    0    0    0    0    0    0
151  Troglodyte Shaman      7  10.7     6    10    35    1    1    8    0    0    0    0    5    4
152  Troglodyte Khazi      10  14.8     8    12    50    1    1   10    0    0    0    0    6    6
153  Troglodyte Defende    12  12.9    14    20    60    1    3   10    0    0    0    0    0    0
154  Troglodyte Lord       14  25.8    22    60    70    1    4   10    0    0    0    0    0    0
155  Hill Giant            10   8.6    12     8    50    1    3    8    0    0    0    0    0    0
156  Hill Giant Fighter    12  12.2    18    14    60    1    3   10    0    0    0    0    0    0
157  Hill Giant Shaman     14  12.8    10     8    70    1    3    8    0    0    0    0    3    3
158  Hill Giant Chief      24  27.0    30    18   200    1    5   10    0    0    0    0    0    0
159  Golem of Blades       13  15.0    20    20    70    2    0    0    3   10    3   10    0    0
160  Fire Golem            18  13.2    15    17    70    1    4   10    0    0    0    0    0    0
161  Ice Golem             18  13.2    15    17    70    1    4   10    0    0    0    0    0    0
162  Jeweled Golem         22  14.6    13    18    90    1    1   10    0    0    0    0    0    0
163  Demon Golem           22  21.5    26    25   120    1    5   10    0    0    0    0    5    0
164  Power Crystal         10  14.6     0    25   100    0    0    0    0    0    0    0    0    0
165  Mind Crystal          30  29.7     0    25   200    0    0    0    0    0    0    0    7    7
166  Alien Beast           20  19.4    30    20   100    1    9   10    0    0    0    0    0    0
167  Pack Leader           27  27.3    36    30   150    1   10   13    0    0    0    0    0    0
168  Dark Wyrm             30  24.7    30     9   200    1   10   13    0    0    0    0    0    0
169  Dryad                  7   4.1     4     0    40    1    1    8    0    0    0    0    0    0
170  Drake Lord            30  54.7    26    15   500    3    8   10    4   10    4   10    7    5
171  Spiny Worm            15  13.3    18     6   100    1    6   12    0    0    0    0    0    0
172  Ursag                 12   6.9    18    10     8    3    3   10    2    8    2    8    0    0
173  Gorgon                18  16.0    17    14   110    3    3   12    1   12    1   12    0    0
174  Unicorn                3   3.4     6     3    17    1    1   12    0    0    0    0    0    0
175  Slime Zombie           5   3.7     5     1    30    2    0    0    2    5    2    5    0    0
176  Mung Slime             7   7.1    10    10    30    1    3    8    0    0    0    0    0    0
177  Dragon            39**   227.1    35    40  2500    3    9   40    8   30    8   30    7    7
178  Hydra                 20  15.8    20    14   100    3    4    8    4    8    4    8    0    0
179  Pyrohydra             24  17.9    20    14   125    3    4    8    4    8    4    8    0    0
180  Cryohydra             24  17.4    17    10   140    3    4    8    4    8    4    8    0    0
181  Baby Hydra             8   6.2     7     6    40    2    3    9    3    9    0    0    0    0
182  Pixie                  7  12.0     2    30    10    1    1    8    0    0    0    0    0    3
183  Unicorn               25  17.0    16    20    80    1   12   18    0    0    0    0    2    2
184  Kobold                 2   1.2     2     1     6    1    1    8    0    0    0    0    0    0
185  Centaur               10   4.6     8     2    30    1    2    8    0    0    0    0    0    0
186  Centaur Chief         18   8.0    14     4    50    1    3   10    0    0    0    0    0    0
187  Blood Beast       24***   19.0    18    12   150    3    4   12    3   12    3   12    0    0

Lvl = Level of monster     Calc = Calculated level     Skill = Skill     Arm = Armor     Hlth = Health
AT = Number of melee attacks
     D1-3 = Number of dice of damage for attacks #1-3     S1-3 = Sides on dice of damage for attacks #1-3
     (so if D1=2 and S1=8, it's 2d8, or 1-8 twice, added together)
PL, ML = Level of Priest, Mage spells the monster can cast


ASTERISKS AND NOTES

* A Doomguard is technically a level 4 monster, because a monster's x.p. value is based on its level.
  A Doomguard splits up into many other Doomguards, so if this monster was given the level value it
  deserves, it would give way too many x.p. when a party slew "one" of them. For scenario design
  purposes, a Doomguard should be considered a level 30 monster, or possibly even higher.

** Multiple regression determined that if a Dragon's level was derived the same way other monsters'
  levels are (save the Doomguard), a Dragon would be a level 133 monster. And my regression didn't take
  breath weapons into account!

*** In the game, the Blood Beast is a level zero monster. That has to be an error on the game designer's
  part. Regression techniques determined that a Blood Beast should be a level 24 monster.

NOTES FOR THE STATISTICALLY INCLINED: I tried to find a theoretically sound set of variables to predict
a monster's level, but my theories weren't backed up by the data all that well. So, I performed a
stepwise regression, allowing the computer's algorithms to choose what order the regressors should be
entered into the regression equation.  There are all kinds of reasons why such "automatic" regression
strategies are inferior to theoretically based ones, but they didn't seem to matter much here.
However, by examining the results, I did hypothesize (and then find) one interesting point. There's an
interaction between the maximum amount of damage a monster can do in one round with its regular attack
forms, and what level of mage spell it can use.  This interaction is statistically significant at the
.001 level even when the other significant variables are entered.

All in all, the following variables account for 85% of the variance in a monster's level (that is, the
adjusted R-square is .85):

Health, armor, level of mage spells, skill, maximum possible damage, and the interaction between mage
spell and maximum possible damage.  Health, by itself, accounts for 72% of the variance in monsters'
levels.  (Dragon, Doomguard, and Blood Beast data was left out of the calculations.  Also, the first
7 Townspeople were removed, since all 8 are identical and I didn't want that skewing the results.)

A monster's ability to cast priest spells has no significant effect on it's level, even with all the
above variables accounted for (p>.17). 

I did not enter a monster's special abilities (poison, disease, breath weapon, etc.) into the level
calculations.  Things like that probably contribute greatly to the remaining 15% of variance, but there
are so many special abilities of unequal strength that finding a good way to represent them was too
annoying a task to bother with.


CUSTOM MONSTERS

Want to make your own monsters?  Great.  Here's the easiest way to decide what level your monster should
be, while keeping it reasonably consistent with Jeff Vogel's current system. 

LEVEL = HEALTH divided by 10, then add a level or two for special powers like causing poison, etc, and
one level for every level of wizard spell the monster can cast. 

But if you want to be more accurate, try this:

LEVEL = 0.081 * HEALTH + 0.204* SKILL + 0.261 * ARMOR + Mage level, then add a level or two for special
powers.  (Priest spells don't affect level, believe it or not, although they probably should.)

Or you can do what Jeff presumably did, and just play around with the numbers until the game balance is
right.  The above are just two estimates of what Blades of Exile's game balance is already set at, with
the second estimate being more reliable than the first.  An even more reliable estimate would take six
variables into account and require a bunch of extra math on your part on top of that, since two of those
six variables are "composite" variables: special combinations of variables that already exist in the game.
Not a big deal if you've got software to run complex statistical analyses, but a very big deal otherwise.
